Energy_group,coarse_node_id,region_id,material,scalar_flux,volume
1,1,7,inner_fuel,0.5908260197928304,0.10721319602777031
1,1,8,inner_fuel,0.5912416677757546,0.10721319602777031
1,1,9,inner_fuel,0.5913447033265686,0.10721319602777031
1,1,10,inner_fuel,0.5915854348498525,0.10721319602777031
1,1,11,cladding,0.5839158335739693,0.038243425442875525
1,1,12,cladding,0.5830344302183279,0.038243425442875525
1,1,13,cladding,0.5837336483774025,0.038243425442875525
1,1,14,cladding,0.5840109518840371,0.038243425442875525
1,1,15,na_coolant,0.5837593614174484,0.06357660316419353
1,1,16,na_coolant,0.5837017309070701,0.06357660316419353
1,1,17,na_coolant,0.5844370991139565,0.06357660316419353
1,1,18,na_coolant,0.584219440947297,0.06357660316419353
2,1,7,inner_fuel,1.1247817404077414,0.10721319602777031
2,1,8,inner_fuel,1.1240692926745985,0.10721319602777031
2,1,9,inner_fuel,1.1246936873074482,0.10721319602777031
2,1,10,inner_fuel,1.1243601482925334,0.10721319602777031
2,1,11,cladding,1.1230082126572993,0.038243425442875525
2,1,12,cladding,1.1220573720257967,0.038243425442875525
2,1,13,cladding,1.1226458535599817,0.038243425442875525
2,1,14,cladding,1.1229214795591598,0.038243425442875525
2,1,15,na_coolant,1.1213092594632363,0.06357660316419353
2,1,16,na_coolant,1.1216573902478033,0.06357660316419353
2,1,17,na_coolant,1.1215526555004038,0.06357660316419353
2,1,18,na_coolant,1.1210474432280422,0.06357660316419353
3,1,7,inner_fuel,2.4414981540717244,0.10721319602777031
3,1,8,inner_fuel,2.4409972778946036,0.10721319602777031
3,1,9,inner_fuel,2.4415578666930906,0.10721319602777031
3,1,10,inner_fuel,2.4417824964457107,0.10721319602777031
3,1,11,cladding,2.4439430200079806,0.038243425442875525
3,1,12,cladding,2.4432568062003863,0.038243425442875525
3,1,13,cladding,2.4422462636765983,0.038243425442875525
3,1,14,cladding,2.4421115006484775,0.038243425442875525
3,1,15,na_coolant,2.441626939083629,0.06357660316419353
3,1,16,na_coolant,2.4432657287673125,0.06357660316419353
3,1,17,na_coolant,2.442034755673959,0.06357660316419353
3,1,18,na_coolant,2.443508814420635,0.06357660316419353
4,1,7,inner_fuel,3.098043942522501,0.10721319602777031
4,1,8,inner_fuel,3.09770520078846,0.10721319602777031
4,1,9,inner_fuel,3.097473373272979,0.10721319602777031
4,1,10,inner_fuel,3.098831062897639,0.10721319602777031
4,1,11,cladding,3.09963668838136,0.038243425442875525
4,1,12,cladding,3.101393892831489,0.038243425442875525
4,1,13,cladding,3.098088268876695,0.038243425442875525
4,1,14,cladding,3.0993783357766067,0.038243425442875525
4,1,15,na_coolant,3.100077872006858,0.06357660316419353
4,1,16,na_coolant,3.0994316130936657,0.06357660316419353
4,1,17,na_coolant,3.0983900870437138,0.06357660316419353
4,1,18,na_coolant,3.101199543908502,0.06357660316419353
5,1,7,inner_fuel,2.610061378198099,0.10721319602777031
5,1,8,inner_fuel,2.60978967152278,0.10721319602777031
5,1,9,inner_fuel,2.6096205443115625,0.10721319602777031
5,1,10,inner_fuel,2.6107395479669075,0.10721319602777031
5,1,11,cladding,2.610949717292951,0.038243425442875525
5,1,12,cladding,2.610903982336724,0.038243425442875525
5,1,13,cladding,2.61067500785414,0.038243425442875525
5,1,14,cladding,2.6101189680965287,0.038243425442875525
5,1,15,na_coolant,2.6121012530092784,0.06357660316419353
