Energy_group,coarse_node_id,region_id,material,scalar_flux,sigma,volume
1,1,7,inner_fuel,0.5909969207026212,0.038754129177968756,0.10721319602777031
1,1,8,inner_fuel,0.5910003749710351,0.03838218797478876,0.10721319602777031
1,1,9,inner_fuel,0.591261963835698,0.03899997737581083,0.10721319602777031
1,1,10,inner_fuel,0.590877351280352,0.03830526655017159,0.10721319602777031
1,1,11,cladding,0.5831004352802936,0.14643861746926173,0.038243425442875525
1,1,12,cladding,0.5834491582506823,0.14711985970905425,0.038243425442875525
1,1,13,cladding,0.5834651072782097,0.14631463414810128,0.038243425442875525
1,1,14,cladding,0.5835505342737466,0.14485412133035905,0.038243425442875525
1,1,15,na_coolant,0.5838918837506396,0.7658268316557775,0.06357660316419353
1,1,16,na_coolant,0.5836531853860578,0.7698949946361964,0.06357660316419353
1,1,17,na_coolant,0.583820949801045,0.7697072843928024,0.06357660316419353
1,1,18,na_coolant,0.5839775150414085,0.7734756823569835,0.06357660316419353
2,1,7,inner_fuel,1.1245822289058331,0.01715562505396639,0.10721319602777031
2,1,8,inner_fuel,1.1245286954286569,0.01723944664385021,0.10721319602777031
2,1,9,inner_fuel,1.1244642481018463,0.017077802563018978,0.10721319602777031
2,1,10,inner_fuel,1.1243888160544564,0.01728862730589236,0.10721319602777031
2,1,11,cladding,1.1225881752494682,0.1130466544213692,0.038243425442875525
2,1,12,cladding,1.1226150677602462,0.11396273831647766,0.038243425442875525
2,1,13,cladding,1.1226688724293217,0.11251055065905109,0.038243425442875525
2,1,14,cladding,1.122745754422541,0.11330888729279963,0.038243425442875525
2,1,15,na_coolant,1.12162723064441,0.2701384427398913,0.06357660316419353
2,1,16,na_coolant,1.121845979821052,0.2694704466923118,0.06357660316419353
2,1,17,na_coolant,1.1213828092395512,0.2700932888140414,0.06357660316419353
2,1,18,na_coolant,1.1214652775230407,0.270486191042507,0.06357660316419353
3,1,7,inner_fuel,2.441266167453475,0.007352256101255914,0.10721319602777031
3,1,8,inner_fuel,2.441515340471833,0.0072617442255808705,0.10721319602777031
3,1,9,inner_fuel,2.4413750183016503,0.007324867379108461,0.10721319602777031
3,1,10,inner_fuel,2.4413198511850878,0.007331599099263336,0.10721319602777031
3,1,11,cladding,2.4425930281886448,0.06178233758413053,0.038243425442875525
3,1,12,cladding,2.4428471664822093,0.061494017776242985,0.038243425442875525
3,1,13,cladding,2.443246955166972,0.062146638540603406,0.038243425442875525
3,1,14,cladding,2.443100569922864,0.06188795731421234,0.038243425442875525
3,1,15,na_coolant,2.442696547778298,0.13971331915492322,0.06357660316419353
3,1,16,na_coolant,2.4433116197104807,0.14158964533509108,0.06357660316419353
3,1,17,na_coolant,2.4421603005750314,0.13940692057994455,0.06357660316419353
3,1,18,na_coolant,2.4423823062312957,0.1400877814141186,0.06357660316419353
4,1,7,inner_fuel,3.0982900377479035,0.006118617099744773,0.10721319602777031
4,1,8,inner_fuel,3.098322177093727,0.006124505438866831,0.10721319602777031
4,1,9,inner_fuel,3.0987243095653034,0.006188828242969758,0.10721319602777031
4,1,10,inner_fuel,3.0983962091888544,0.006180973263236073,0.10721319602777031
4,1,11,cladding,3.099557708337768,0.0407314049379253,0.038243425442875525
4,1,12,cladding,3.100003175119107,0.04025168939461658,0.038243425442875525
4,1,13,cladding,3.0994539321907837,0.040602175308678747,0.038243425442875525
4,1,14,cladding,3.09935585107978,0.040531045844731904,0.038243425442875525
4,1,15,na_coolant,3.0993971170847763,0.14623569679275095,0.06357660316419353
4,1,16,na_coolant,3.1004319247194965,0.14784723436217714,0.06357660316419353
4,1,17,na_coolant,3.100763306582394,0.1451116343522029,0.06357660316419353
4,1,18,na_coolant,3.100108899453735,0.1479116390622141,0.06357660316419353
5,1,7,inner_fuel,2.6109093975950275,0.005367218700297495,0.10721319602777031
5,1,8,inner_fuel,2.6109562722290143,0.005360884946886542,0.10721319602777031
5,1,9,inner_fuel,2.610841030944358,0.005366935764361672,0.10721319602777031
5,1,10,inner_fuel,2.610515494234082,0.005385846005368536,0.10721319602777031
5,1,11,cladding,2.611498114533029,0.027560533640859808,0.038243425442875525
5,1,12,cladding,2.612268792678085,0.027874499798503642,0.038243425442875525
5,1,13,cladding,2.6118152750611427,0.027590034028406586,0.038243425442875525
5,1,14,cladding,2.6119238848539448,0.027744875034644255,0.038243425442875525
5,1,15,na_coolant,2.6131181887804518,0.12033124191841355,0.06357660316419353
5,1,16,na_coolant,2.6123537948518885,0.12130701692820234,0.06357660316419353
5,1,17,na_coolant,2.611506054088524,0.12037302386925589,0.06357660316419353
5,1,18,na_coolant,2.611917390761268,0.12046847759091338,0.06357660316419353
6,1,7,inner_fuel,1.8123842297422308,0.005766558824657242,0.10721319602777031
6,1,8,inner_fuel,1.812569466286226,0.005714024172184619,0.10721319602777031
6,1,9,inner_fuel,1.812426532981597,0.005779225690079496,0.10721319602777031
6,1,10,inner_fuel,1.8130156403670294,0.005744292086022372,0.10721319602777031
6,1,11,cladding,1.8119033030542098,0.015805011209388396,0.038243425442875525
6,1,12,cladding,1.8117480403878852,0.015583326923300415,0.038243425442875525
6,1,13,cladding,1.811937876784101,0.015572432115014035,0.038243425442875525
6,1,14,cladding,1.8118073864910789,0.015648790034398792,0.038243425442875525
6,1,15,na_coolant,1.8134824354786474,0.162307251859926,0.06357660316419353
6,1,16,na_coolant,1.8135196539992067,0.1607732067951652,0.06357660316419353
6,1,17,na_coolant,1.813323468253396,0.16240766990168662,0.06357660316419353
6,1,18,na_coolant,1.8136555059370896,0.16218897713867064,0.06357660316419353
