Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 1, fuel1, 1.190881574885814
1, 1, 2, coolant, 1.1397194315789108
1, 1, 3, coolant, 1.1453685258810917
1, 1, 4, coolant, 1.190573898962409
2, 1, 1, fuel1, 0.20334339103158622
2, 1, 2, coolant, 0.20073688431280118
2, 1, 3, coolant, 0.2095059740186301
2, 1, 4, coolant, 0.23513794599574017
