Energy_group, coarse_node_id, region_id, scalar_flux
1, 1, 13, 8.554147457752471
1, 1, 14, 5.510027825008421
1, 2, 16, 8.601045203579881
1, 2, 17, 5.5425802783675095
1, 3, 19, 8.708721935359442
1, 3, 20, 5.60189391344184
1, 4, 22, 8.814780460575957
1, 4, 23, 5.653439233849648
1, 5, 25, 8.849111190841091
1, 5, 26, 5.677853545653683
1, 6, 28, 8.84937569796866
1, 6, 29, 5.678020486311435
1, 7, 31, 8.815624496525324
1, 7, 32, 5.653958799975866
1, 8, 34, 8.709032112751238
1, 8, 35, 5.60213535833373
1, 9, 37, 8.6000470744341
1, 9, 38, 5.541896240421587
1, 10, 40, 8.551783499558045
1, 10, 41, 5.50854138746644
1, 11, 43, 8.60162099594331
1, 11, 44, 5.5428869289350375
1, 12, 46, 8.682090640900839
1, 12, 47, 5.583144667439118
1, 13, 49, 8.789828118462179
1, 13, 50, 5.635501551566632
1, 14, 52, 8.858689607153343
1, 14, 53, 5.679069439696234
1, 15, 55, 8.886740786290975
1, 15, 56, 5.69898103004268
1, 16, 58, 8.886991425925475
1, 16, 59, 5.699139712235605
1, 17, 61, 8.85952114833212
1, 17, 62, 5.6796100617102265
1, 18, 64, 8.790624940290193
1, 18, 65, 5.636033425548035
1, 19, 67, 8.681618364111216
1, 19, 68, 5.582898732373945
1, 20, 70, 8.599528070871013
1, 20, 71, 5.54154770502453
1, 21, 73, 8.712572584086288
1, 21, 74, 5.604319436972159
1, 22, 76, 8.792129029794468
1, 22, 77, 5.636951907954179
1, 23, 79, 8.856010366956205
1, 23, 80, 5.676971308242206
1, 24, 82, 8.894612503212809
1, 24, 83, 5.704413700830184
1, 25, 85, 8.913002732793531
1, 25, 86, 5.717408831378671
1, 26, 88, 8.913141093825232
1, 26, 89, 5.717499386077462
1, 27, 91, 8.895029318898992
1, 27, 92, 5.704691783467101
1, 28, 94, 8.85667209326812
1, 28, 95, 5.677426359224828
1, 29, 97, 8.79235913607657
1, 29, 98, 5.637142935515776
1, 30, 100, 8.711207184224726
1, 30, 101, 5.603471360634652
1, 31, 103, 8.824295411739984
1, 31, 104, 5.659524853940843
1, 32, 106, 8.863917753277878
1, 32, 107, 5.6823915252005275
1, 33, 109, 8.897085319810524
1, 33, 110, 5.705991296593135
1, 34, 112, 8.920760884769471
1, 34, 113, 5.722700367325384
1, 35, 115, 8.9327785286929
1, 35, 116, 5.731135797076166
1, 36, 118, 8.932844977270257
1, 36, 119, 5.731181189925095
1, 37, 121, 8.920952663554463
1, 37, 122, 5.722834773710779
1, 38, 124, 8.897376243926612
1, 38, 125, 5.706206526440097
1, 39, 127, 8.86426834215785
1, 39, 128, 5.682672849219372
1, 40, 130, 8.82397930991947
1, 40, 131, 5.659352672741651
1, 41, 133, 8.863020896585558
1, 41, 134, 5.686760487885984
1, 42, 136, 8.893253849697873
1, 42, 137, 5.703134752852002
1, 43, 139, 8.91759910691992
1, 43, 140, 5.720350749155084
1, 44, 142, 8.935103024155524
1, 44, 143, 5.732626466997969
1, 45, 145, 8.944200834622912
1, 45, 146, 5.73897535547917
1, 46, 148, 8.944237354827248
1, 46, 149, 5.739001944009043
1, 47, 151, 8.935212827250087
1, 47, 152, 5.73270925029686
1, 48, 154, 8.917800973267571
1, 48, 155, 5.720511471499631
1, 49, 157, 8.893664223003194
1, 49, 158, 5.703470458580023
1, 50, 160, 8.863066708158728
1, 50, 161, 5.6868328765542575
1, 51, 163, 8.865945655717166
1, 51, 164, 5.68864882615129
1, 52, 166, 8.896005607009428
1, 52, 167, 5.704916004297896
1, 53, 169, 8.92013974916923
1, 53, 170, 5.721990735194467
1, 54, 172, 8.937515074527635
1, 54, 173, 5.734180019671988
1, 55, 175, 8.946561624139932
1, 55, 176, 5.740494354659074
1, 56, 178, 8.946598444205545
1, 56, 179, 5.740521165864023
1, 57, 181, 8.937626590474387
1, 57, 182, 5.734263987447538
1, 58, 184, 8.92034700512233
1, 58, 185, 5.722155014268195
1, 59, 187, 8.896430678816923
1, 59, 188, 5.705261108564422
1, 60, 190, 8.865998788581436
1, 60, 191, 5.688725660891338
1, 61, 193, 8.833273508550722
1, 61, 194, 5.665326986154653
1, 62, 196, 8.872258679057689
1, 62, 197, 5.687798738821774
1, 63, 199, 8.904636591037804
1, 63, 200, 5.710867156906204
1, 64, 202, 8.9279217492889
1, 64, 203, 5.727312142173909
1, 65, 205, 8.939807984952985
1, 65, 206, 5.735658202585901
1, 66, 208, 8.939874747657294
1, 66, 209, 5.735703855264925
1, 67, 211, 8.928116966444815
1, 67, 212, 5.727448919542772
1, 68, 214, 8.904938439373055
1, 68, 215, 5.711089557355334
1, 69, 217, 8.872630587481643
1, 69, 218, 5.688093506745227
1, 70, 220, 8.83297082239936
1, 70, 221, 5.665163871584875
1, 71, 223, 8.725666346262276
1, 71, 224, 5.612748646828669
1, 72, 226, 8.805128562128502
1, 72, 227, 5.6453362026475205
1, 73, 229, 8.868205732594173
1, 73, 230, 5.68484556438639
1, 74, 232, 8.906265186581642
1, 74, 233, 5.7119151842849245
1, 75, 235, 8.924562395221429
1, 75, 236, 5.724843705275455
1, 76, 238, 8.924699278124297
1, 76, 239, 5.724933275569695
1, 77, 241, 8.906684544335324
1, 77, 242, 5.712194773075142
1, 78, 244, 8.868879739479016
1, 78, 245, 5.68530776284467
1, 79, 247, 8.805344521703125
1, 79, 248, 5.6455187599711305
1, 80, 250, 8.72429422661363
1, 80, 251, 5.611898252222968
1, 81, 253, 8.61463644774323
1, 81, 254, 5.551261287094791
