Energy_group,coarse_node_id,region_id,material,scalar_flux,volume
1,1,7,na_coolant,0.8926598970813309,0.10893501336881929
1,1,8,inner_fuel,0.8982269578223696,0.10009821052684138
1,2,11,na_coolant,0.8925604451041078,0.10893501336881929
1,2,12,inner_fuel,0.8981281401456102,0.10009821052684138
1,3,15,na_coolant,0.8944736267860043,0.10893501336881929
1,3,16,inner_fuel,0.9000278113653156,0.10009821052684138
1,4,19,na_coolant,0.894375475887315,0.10893501336881929
1,4,20,inner_fuel,0.8999302467635447,0.10009821052684138
2,1,7,na_coolant,1.4379627003732716,0.10893501336881929
2,1,8,inner_fuel,1.4420130973924,0.10009821052684138
2,2,11,na_coolant,1.4377974205816921,0.10893501336881929
2,2,12,inner_fuel,1.4418485981880194,0.10009821052684138
2,3,15,na_coolant,1.4392112643581672,0.10893501336881929
2,3,16,inner_fuel,1.443255722499116,0.10009821052684138
2,4,19,na_coolant,1.439045901106498,0.10893501336881929
2,4,20,inner_fuel,1.4430911649338336,0.10009821052684138
3,1,7,na_coolant,2.878077787432073,0.10893501336881929
3,1,8,inner_fuel,2.880623557176622,0.10009821052684138
3,2,11,na_coolant,2.8783261000799443,0.10893501336881929
3,2,12,inner_fuel,2.8808688755440905,0.10009821052684138
3,3,15,na_coolant,2.8786540798004094,0.10893501336881929
3,3,16,inner_fuel,2.8812099125157093,0.10009821052684138
3,4,19,na_coolant,2.878900375834393,0.10893501336881929
3,4,20,inner_fuel,2.881453250194745,0.10009821052684138
4,1,7,na_coolant,3.824946984338377,0.10893501336881929
4,1,8,inner_fuel,3.8236185074853113,0.10009821052684138
4,2,11,na_coolant,3.8251852805653623,0.10893501336881929
4,2,12,inner_fuel,3.823856215649792,0.10009821052684138
4,3,15,na_coolant,3.8244993157109737,0.10893501336881929
4,3,16,inner_fuel,3.8231781237583187,0.10009821052684138
4,4,19,na_coolant,3.824736630349532,0.10893501336881929
4,4,20,inner_fuel,3.823414876360807,0.10009821052684138
5,1,7,na_coolant,3.3010851687350633,0.10893501336881929
5,1,8,inner_fuel,3.2986169769351554,0.10009821052684138
5,2,11,na_coolant,3.3018276190760405,0.10893501336881929
5,2,12,inner_fuel,3.2993568845373193,0.10009821052684138
5,3,15,na_coolant,3.3003653987159765,0.10893501336881929
5,3,16,inner_fuel,3.2978995551094314,0.10009821052684138
5,4,19,na_coolant,3.3011067075130187,0.10893501336881929
5,4,20,inner_fuel,3.298638313274903,0.10009821052684138
6,1,7,na_coolant,2.510868665155353,0.10893501336881929
6,1,8,inner_fuel,2.5078637276254505,0.10009821052684138
6,2,11,na_coolant,2.510977003432908,0.10893501336881929
6,2,12,inner_fuel,2.5079733683599854,0.10009821052684138
6,3,15,na_coolant,2.5094957250545873,0.10893501336881929
6,3,16,inner_fuel,2.5064953394842724,0.10009821052684138
6,4,19,na_coolant,2.5096039633181473,0.10893501336881929
6,4,20,inner_fuel,2.506604911376535,0.10009821052684138
7,1,7,na_coolant,2.1761103141193665,0.10893501336881929
7,1,8,inner_fuel,2.1671089035331597,0.10009821052684138
7,2,11,na_coolant,2.1756581611303174,0.10893501336881929
7,2,12,inner_fuel,2.16665792234557,0.10009821052684138
7,3,15,na_coolant,2.1719459086011272,0.10893501336881929
7,3,16,inner_fuel,2.162958823136933,0.10009821052684138
7,4,19,na_coolant,2.1714936089429973,0.10893501336881929
7,4,20,inner_fuel,2.1625077418186462,0.10009821052684138
8,1,7,na_coolant,0.1297336414017285,0.10893501336881929
8,1,8,inner_fuel,0.1286895066442564,0.10009821052684138
8,2,11,na_coolant,0.1296943935895266,0.10893501336881929
8,2,12,inner_fuel,0.12865064119780178,0.10009821052684138
8,3,15,na_coolant,0.12927856167271184,0.10893501336881929
8,3,16,inner_fuel,0.1282396588557746,0.10009821052684138
8,4,19,na_coolant,0.12923924528005828,0.10893501336881929
8,4,20,inner_fuel,0.1282007352132507,0.10009821052684138
