Energy_group, coarse_node_id, region_id, material, scalar_flux
1, 1, 19, fuel2, 1.5563288417993362
1, 1, 20, cladding, 1.499460582447929
1, 1, 21, coolant, 1.5661957103742106
1, 2, 23, fuel2, 1.5650764906128602
1, 2, 24, cladding, 1.5081955221478331
1, 2, 25, coolant, 1.575511114835694
1, 3, 27, fuel3, 1.5839790988495848
1, 3, 28, cladding, 1.525152044121269
1, 3, 29, coolant, 1.5923004355997543
1, 4, 31, fuel5, 1.603916483362364
1, 4, 32, cladding, 1.5411633079632439
1, 4, 33, coolant, 1.6077207313549386
1, 5, 35, fuel5, 1.610395480335304
1, 5, 36, cladding, 1.5477217343554979
1, 5, 37, coolant, 1.614771970988996
1, 6, 39, fuel5, 1.610462715384172
1, 6, 40, cladding, 1.5477887849002878
1, 6, 41, coolant, 1.6148447748592236
1, 7, 43, fuel5, 1.6041134587918502
1, 7, 44, cladding, 1.5413633717202582
1, 7, 45, coolant, 1.6079407329922506
1, 8, 47, fuel3, 1.5844584451441084
1, 8, 48, cladding, 1.5256124252066483
1, 8, 49, coolant, 1.592791349675317
1, 9, 51, fuel2, 1.5658520701457876
1, 9, 52, cladding, 1.5089460448242644
1, 9, 53, coolant, 1.5762984562699247
1, 10, 55, fuel2, 1.5572788198695662
1, 10, 56, cladding, 1.500378089073675
1, 10, 57, coolant, 1.5671559365965273
1, 11, 59, fuel2, 1.5651342571018512
1, 11, 60, cladding, 1.5082534438762052
1, 11, 61, coolant, 1.575574473160711
1, 12, 63, fuel3, 1.5788970427459064
1, 12, 64, cladding, 1.5200521359005152
1, 12, 65, coolant, 1.5868436602772062
1, 13, 67, fuel5, 1.5987243400230586
1, 13, 68, cladding, 1.5359220488426941
1, 13, 69, coolant, 1.6020938302824812
1, 14, 71, fuel6, 1.6116585992730545
1, 14, 72, cladding, 1.548281308542415
1, 14, 73, coolant, 1.6140427301117928
1, 15, 75, fuel6, 1.6168628648814483
1, 15, 76, cladding, 1.5535435181235226
1, 15, 77, coolant, 1.6196925939515159
1, 16, 79, fuel6, 1.6169451395203556
1, 16, 80, cladding, 1.553623284020851
1, 16, 81, coolant, 1.6197754543248721
1, 17, 83, fuel6, 1.611910590916514
1, 17, 84, cladding, 1.548524031709281
1, 17, 85, coolant, 1.6142937039478855
1, 18, 87, fuel5, 1.599163608766771
1, 18, 88, cladding, 1.5363497595334743
1, 18, 89, coolant, 1.602549140841141
1, 19, 91, fuel3, 1.5796321520088625
1, 19, 92, cladding, 1.5207575890241931
1, 19, 93, coolant, 1.587587891383778
1, 20, 95, fuel2, 1.5661338306590005
1, 20, 96, cladding, 1.5092187995289144
1, 20, 97, coolant, 1.5765848473582522
1, 21, 99, fuel3, 1.5839610998271276
1, 21, 100, cladding, 1.525140171829125
1, 21, 101, coolant, 1.5922892411833476
1, 22, 103, fuel5, 1.5986787057718226
1, 22, 104, cladding, 1.5358813414502568
1, 22, 105, coolant, 1.6020532888252965
1, 23, 107, fuel6, 1.6106577016634733
1, 23, 108, cladding, 1.5472746421991783
1, 23, 109, coolant, 1.612964410678865
1, 24, 111, fuel6, 1.6179936345974237
1, 24, 112, cladding, 1.5546868271068237
1, 24, 113, coolant, 1.620920488608828
1, 25, 115, fuel6, 1.6216166599893982
1, 25, 116, cladding, 1.55833170473156
1, 25, 117, coolant, 1.624823030468778
1, 26, 119, fuel6, 1.6217096794709143
1, 26, 120, cladding, 1.558421168832313
1, 26, 121, coolant, 1.6249158443212417
1, 27, 123, fuel6, 1.618276795575662
1, 27, 124, cladding, 1.554958703940275
1, 27, 125, coolant, 1.6212022451561716
1, 28, 127, fuel6, 1.6111420108455423
1, 28, 128, cladding, 1.5477386293684097
1, 28, 129, coolant, 1.6134446749596145
1, 29, 131, fuel5, 1.5993692186567654
1, 29, 132, cladding, 1.5365492638824292
1, 29, 133, coolant, 1.6027571846865274
1, 30, 135, fuel3, 1.584962581231256
1, 30, 136, cladding, 1.5261066955525573
1, 30, 137, coolant, 1.5933033106835262
1, 31, 139, fuel5, 1.6037338101434169
1, 31, 140, cladding, 1.5409996439503821
1, 31, 141, coolant, 1.607556397579694
1, 32, 143, fuel6, 1.6115100394474675
1, 32, 144, cladding, 1.548144121951334
1, 32, 145, coolant, 1.613901829570028
1, 33, 147, fuel6, 1.6179098593500532
1, 33, 148, cladding, 1.5546082197875366
1, 33, 149, coolant, 1.6208394191453392
1, 34, 151, fuel6, 1.6226854250426963
1, 34, 152, cladding, 1.559404472830401
1, 34, 153, coolant, 1.6259704047824364
1, 35, 155, fuel6, 1.6252112897737314
1, 35, 156, cladding, 1.561931099934715
1, 35, 157, coolant, 1.628667021095444
1, 36, 159, fuel6, 1.625310493051496
1, 36, 160, cladding, 1.5620263663112408
1, 36, 161, coolant, 1.6287659596342663
1, 37, 163, fuel6, 1.6229856441528259
1, 37, 164, cladding, 1.559692625307314
1, 37, 165, coolant, 1.6262696009123303
1, 38, 167, fuel6, 1.6184177061508662
1, 38, 168, cladding, 1.555095333663807
1, 38, 169, coolant, 1.6213451429366303
1, 39, 171, fuel6, 1.6122331675611576
1, 39, 172, cladding, 1.5488377617560147
1, 39, 173, coolant, 1.6146223963920643
1, 40, 175, fuel5, 1.6046862266593633
1, 40, 176, cladding, 1.5419236038489073
1, 40, 177, coolant, 1.6085271160965031
1, 41, 179, fuel5, 1.6101381386827076
1, 41, 180, cladding, 1.5474797177426467
1, 41, 181, coolant, 1.6145208353483598
1, 42, 183, fuel6, 1.6166026108676022
1, 42, 184, cladding, 1.5533002074994668
1, 42, 185, coolant, 1.6194429204349057
1, 43, 187, fuel6, 1.621437420334665
1, 43, 188, cladding, 1.558162295622802
1, 43, 189, coolant, 1.6246482725350078
1, 44, 191, fuel6, 1.6251193267830226
1, 44, 192, cladding, 1.5618436815337928
1, 44, 193, coolant, 1.628576651275249
1, 45, 195, fuel6, 1.6271283320542869
1, 45, 196, cladding, 1.5638447167619494
1, 45, 197, coolant, 1.630707140230608
